GH_Repo_Name,Remote_URL,Branch_Checked_Out,Latest_Commit_SHA,Date_Most_Recent_Change,Absolute_Path,Other_Available_Branches,Unpushed_Commits,Uncommitted_Changes,Untracked_Files,Stashed_Changes,Local_Only_Branches,Last_Commit_Date,Number_of_Commits,Last_Push_Date,Is_Fork,Is_Nested_Repo,Duplicate_Indicator
"actions-wiki","https://github.com/spenserblack/actions-wiki.git","main","60b6d13","2023-06-14T14:02:38Z","/c/devl/.com/actions-wiki","N/A","0","NO","NO","NO","N/A","2023-06-14T14:02:38Z","51","2023-06-14T14:02:38Z","NO","NO","PENDING"
"claims-bom","https://github.com/Nationwide/claims-bom.git","main","14d0678c","2026-02-02T17:23:27-05:00","/c/devl/.com/automate/claims-bom","N/A","0","NO","NO","NO","N/A","2026-02-02T17:23:27-05:00","163","2026-02-02T17:23:27-05:00","NO","NO","PENDING"
"claims-spring-boot-starter-template","https://github.com/Nationwide/claims-spring-boot-starter-template.git","main","2e3806e","2026-02-19T16:21:12Z","/c/devl/.com/automate/claims-spring-boot-starter-template","N/A","0","NO","NO","NO","N/A","2026-02-19T16:21:12Z","36","2026-02-19T16:21:12Z","NO","NO","PENDING"
"awesome-github-wiki","https://github.com/MyHoneyBadger/awesome-github-wiki","main","422f18a","2026-03-29T14:07:59+05:00","/c/devl/.com/awesome-github-wiki","N/A","0","NO","NO","NO","N/A","2026-03-29T14:07:59+05:00","170","2026-03-29T14:07:59+05:00","NO","NO","PENDING"
"boostr","https://github.nwie.net/Nationwide/boostr.git","main","2a68af8","2026-05-12T14:26:00-04:00","/c/devl/.com/boostr","N/A","0","YES","YES","NO","N/A","2026-05-12T14:26:00-04:00","257","2026-05-12T14:26:00-04:00","NO","NO","PENDING"
"AI-Tooling","https://github.com/Nationwide/AI-Tooling.git","simple","73943ba","2026-02-13T10:20:27-05:00","/c/devl/.com/btb/rev2/AI-Tooling","N/A","0","NO","NO","NO","N/A","2026-02-13T10:20:27-05:00","38","2026-02-13T10:20:27-05:00","NO","NO","PENDING"
"AI-Tooling","https://github.com/Nationwide/AI-Tooling.git","rev3","2c860f3","2026-02-19T15:44:46-05:00","/c/devl/.com/btb/rev3/AI-Tooling","  simple","0","NO","NO","NO","  simple","2026-02-19T15:44:46-05:00","9","2026-02-19T15:44:46-05:00","NO","NO","PENDING"
"gen-ai-tech-wiki-bot","https://github.com/Nationwide/gen-ai-tech-wiki-bot","main","2926feb","2026-04-13T10:11:38-04:00","/c/devl/.com/gen-ai-tech-wiki-bot","N/A","0","NO","NO","NO","N/A","2026-04-13T10:11:38-04:00","340","2026-04-13T10:11:38-04:00","NO","NO","PENDING"
"gen-ai-tech-wiki-bot.wiki","https://github.com/Nationwide/gen-ai-tech-wiki-bot.wiki.git","master","bd62148","2026-04-15T11:18:26-04:00","/c/devl/.com/gen-ai-tech-wiki-bot.wiki","N/A","0","NO","NO","NO","N/A","2026-04-15T11:18:26-04:00","79","2026-04-15T11:18:26-04:00","NO","NO","PENDING"
"chaos-charts","https://github.com/Nationwide/chaos-charts.git","master","0a5a7df","2022-06-13T17:52:54-04:00","/c/devl/.com/gha-email/chaos-charts","N/A","0","NO","NO","NO","N/A","2022-06-13T17:52:54-04:00","1","2022-06-13T17:52:54-04:00","NO","NO","PENDING"
"cor-frontend","https://github.com/Nationwide/cor-frontend.git","main","b3c417a","2026-03-12T10:13:52-04:00","/c/devl/.com/gha-email/cor-frontend","N/A","0","NO","NO","NO","N/A","2026-03-12T10:13:52-04:00","276","2026-03-12T10:13:52-04:00","NO","NO","PENDING"
"DigitalMessaging-Email","https://github.com/Nationwide/DigitalMessaging-Email.git","master","296861e5","2026-03-16T16:03:41-04:00","/c/devl/.com/gha-email/DigitalMessaging-Email","N/A","11","NO","NO","NO","N/A","2026-03-16T16:03:41-04:00","1811","2026-03-16T16:03:41-04:00","NO","NO","PENDING"
"github-wiki-action","https://github.com/Andrew-Chen-Wang/github-wiki-action.git","master","64efa0a","2026-03-08T14:48:46-04:00","/c/devl/.com/github-wiki-action","N/A","0","NO","NO","NO","N/A","2026-03-08T14:48:46-04:00","178","2026-03-08T14:48:46-04:00","NO","NO","PENDING"
"GitHub-Wiki-Design-and-Implementation.wiki","https://github.com/practicalseries/GitHub-Wiki-Design-and-Implementation.wiki.git","master","ac3d81a","2025-06-15T18:28:17+01:00","/c/devl/.com/GitHub-Wiki-Design-and-Implementation.wiki","N/A","0","NO","NO","NO","N/A","2025-06-15T18:28:17+01:00","2633","2025-06-15T18:28:17+01:00","NO","NO","PENDING"
"github-wiki-see-rs","https://github.com/nelsonjchen/github-wiki-see-rs.git","master","bfa78ab","2026-03-16T21:09:49-07:00","/c/devl/.com/github-wiki-see-rs","N/A","0","NO","NO","NO","N/A","2026-03-16T21:09:49-07:00","807","2026-03-16T21:09:49-07:00","NO","NO","PENDING"
"meeting-roulette","https://github.com/Nationwide/meeting-roulette.git","main","6263e7a","2026-03-11T10:55:26-04:00","/c/devl/.com/meeting-roulette","N/A","0","NO","NO","NO","N/A","2026-03-11T10:55:26-04:00","14","2026-03-11T10:55:26-04:00","NO","NO","PENDING"
"partner-account-linking-api","https://github.com/Nationwide/partner-account-linking-api.git","PAB-15261-metadata-and-gha-template-one-version","43a37fc","2026-05-22T16:39:02-04:00","/c/devl/.com/migration/old/partner-account-linking-api","  main","0","YES","YES","NO","  main","2026-05-22T16:39:02-04:00","125","2026-05-22T16:39:02-04:00","NO","NO","PENDING"
"partner-account-linking-api","https://github.com/Nationwide/partner-account-linking-api.git","PAB-15261-metadata-and-gha-template-one-version","c618412","2026-05-23T02:18:28-04:00","/c/devl/.com/migration/partner-account-linking-api","  main","0","YES","NO","NO","  main","2026-05-23T02:18:28-04:00","127","2026-05-23T02:18:28-04:00","NO","NO","PENDING"
"partner-account-linking-ui","https://github.com/Nationwide/partner-account-linking-ui.git","main","f09c2ed","2026-03-18T16:16:24-04:00","/c/devl/.com/migration/partner-account-linking-ui","N/A","0","YES","YES","NO","N/A","2026-03-18T16:16:24-04:00","139","2026-03-18T16:16:24-04:00","NO","NO","PENDING"
"partner-data-update-api","https://github.com/Nationwide/partner-data-update-api.git","PAB-15261-metadata-and-gha-template-one-version","4eb6126","2026-05-23T02:15:42-04:00","/c/devl/.com/migration/partner-data-update-api","  main","0","YES","NO","NO","  main","2026-05-23T02:15:42-04:00","91","2026-05-23T02:15:42-04:00","NO","NO","PENDING"
"Partner-Experience-UI","https://github.com/Nationwide/Partner-Experience-UI","PAB-15261-metadata-and-gha-template-one-version","03e36c6b","2026-05-19T18:33:09-04:00","/c/devl/.com/migration/Partner-Experience-UI","  main","0","YES","YES","NO","  main","2026-05-19T18:33:09-04:00","4503","2026-05-19T18:33:09-04:00","NO","NO","PENDING"
"partner-onboarding","https://github.com/Nationwide/partner-onboarding","PAB-15261-metadata-and-gha-template-one-version","4abd62ed","2026-05-23T02:18:23-04:00","/c/devl/.com/migration/partner-onboarding","  main","41","YES","YES","NO","  main","2026-05-23T02:18:23-04:00","4637","2026-05-23T02:18:23-04:00","NO","NO","PENDING"
